iter	Passed	Remaining
231	5944	24801
232	5969	24775
233	5996	24756
234	6022	24730
235	6046	24699
236	6071	24669
237	6095	24638
238	6119	24604
239	6163	24652
240	6186	24615
241	6209	24582
242	6234	24553
243	6261	24531
244	6285	24502
245	6310	24473
246	6335	24444
247	6360	24415
248	6387	24396
249	6426	24421
250	6450	24387
251	6475	24359
252	6499	24328
253	6525	24303
254	6549	24272
255	6573	24241
256	6597	24208
257	6622	24180
258	6655	24181
259	6678	24144
260	6700	24105
261	6723	24069
262	6746	24034
263	6769	24000
264	6793	23969
265	6816	23932
266	6839	23900
267	6862	23865
268	6903	23894
269	6927	23860
270	6949	23823
271	6972	23787
272	6993	23748
273	7016	23712
274	7038	23675
275	7061	23640
276	7083	23604
277	7107	23571
278	7129	23535
279	7155	23511
280	7178	23477
281	7202	23447
282	7225	23412
283	7247	23376
284	7270	23341
285	7293	23307
286	7316	23274
287	7339	23241
288	7361	23206
289	7394	23204
290	7417	23169
291	7439	23133
292	7461	23098
293	7484	23063
294	7506	23029
295	7530	22997
296	7553	22964
297	7577	22935
298	7600	22904
299	7623	22870
300	7662	22886
301	7685	22852
302	7707	22817
303	7731	22787
304	7753	22753
305	7776	22719
306	7798	22685
307	7821	22651
308	7845	22621
309	7868	22589
310	7904	22596
311	7928	22564
312	7951	22532
313	7973	22498
314	7997	22468
315	8020	22436
316	8042	22401
317	8065	22369
318	8088	22338
319	8110	22304
320	8143	22299
321	8165	22266
322	8188	22232
323	8210	22198
324	8232	22165
325	8255	22132
326	8277	22098
327	8300	22066
328	8322	22033
329	8345	22001
330	8385	22014
331	8407	21980
332	8429	21946
333	8451	21913
334	8474	21881
335	8496	21849
336	8519	21817
337	8542	21786
338	8564	21753
339	8586	21719
340	8610	21689
341	8648	21695
342	8669	21661
343	8693	21631
344	8715	21598
345	8736	21564
346	8759	21532
347	8783	21504
348	8806	21472
349	8829	21443
350	8853	21415
351	8887	21410
352	8909	21376
353	8931	21343
354	8953	21312
355	8975	21279
356	8997	21246
357	9019	21214
358	9041	21181
359	9063	21148
360	9086	21118
361	9120	21113
362	9142	21080
363	9164	21047
364	9188	21020
365	9210	20988
366	9232	20956
367	9254	20923
368	9277	20892
369	9301	20864
370	9323	20834
371	9345	20801
372	9382	20803
373	9405	20771
374	9426	20738
375	9449	20707
376	9472	20677
377	9494	20647
378	9516	20615
379	9539	20585
380	9562	20555
381	9586	20527
382	9619	20519
383	9640	20485
384	9662	20454
385	9684	20422
386	9707	20392
387	9730	20363
388	9753	20333
389	9775	20303
390	9798	20273
391	9821	20243
392	9844	20215
393	9877	20206
394	9900	20177
395	9923	20148
396	9946	20118
397	9968	20088
398	9993	20062
399	10015	20031
400	10038	20002
401	10067	19983
402	10094	19963
403	10132	19963
404	10157	19938
405	10181	19910
406	10204	19882
407	10229	19857
408	10252	19828
409	10274	19797
410	10296	19766
411	10319	19737
412	10342	19707
413	10377	19703
414	10400	19672
415	10423	19643
416	10445	19612
417	10467	19583
418	10490	19553
419	10513	19524
420	10535	19495
421	10559	19467
422	10583	19440
423	10621	19439
424	10646	19413
425	10672	19391
426	10696	19363
427	10721	19338
428	10747	19315
429	10774	19293
430	10798	19267
431	10824	19242
432	10867	19249
433	10892	19224
434	10917	19200
435	10942	19173
436	10968	19151
437	10993	19125
438	11018	19101
439	11045	19078
440	11069	19051
441	11101	19038
442	11125	19011
443	11151	18986
444	11179	18968
445	11204	18942
446	11231	18919
447	11254	18892
448	11280	18867
449	11304	18841
450	11331	18818
451	11368	18813
452	11392	18787
453	11416	18759
454	11439	18731
455	11462	18702
456	11485	18673
457	11508	18644
458	11532	18617
459	11556	18591
460	11580	18563
461	11615	18554
462	11637	18525
463	11660	18496
464	11683	18467
465	11707	18440
466	11730	18412
467	11754	18384
468	11776	18356
469	11801	18329
470	11824	18302
471	11859	18291
472	11881	18261
473	11904	18233
474	11927	18204
475	11949	18175
476	11974	18149
477	11999	18125
478	12022	18095
479	12045	18067
480	12068	18039
481	12098	18022
482	12121	17994
483	12144	17965
484	12167	17937
485	12190	17909
486	12213	17881
487	12235	17852
488	12258	17824
489	12281	17795
490	12304	17767
491	12327	17739
492	12363	17730
493	12386	17702
494	12409	17674
495	12432	17646
496	12456	17619
497	12479	17591
498	12502	17563
499	12525	17535
500	12548	17507
501	12570	17478
502	12600	17460
503	12622	17431
504	12644	17402
505	12666	17373
506	12689	17345
507	12712	17316
508	12735	17289
509	12760	17263
510	12782	17234
511	12805	17207
512	12829	17181
513	12860	17164
514	12883	17135
515	12905	17107
516	12927	17078
517	12950	17050
518	12972	17022
519	12994	16993
520	13017	16965
521	13040	16937
522	13063	16910
523	13111	16914
524	13134	16887
525	13158	16861
526	13180	16831
527	13202	16803
528	13225	16775
529	13248	16747
530	13271	16720
531	13294	16692
532	13317	16665
533	13350	16650
534	13373	16622
535	13395	16594
536	13418	16566
537	13440	16538
538	13463	16510
539	13486	16482
540	13508	16455
541	13531	16427
542	13555	16401
543	13588	16386
544	13611	16358
545	13633	16329
546	13655	16302
547	13679	16275
548	13702	16247
549	13724	16220
550	13747	16192
551	13772	16167
552	13795	16140
553	13819	16114
554	13852	16098
