iter	RMSE
250	0.1462169047
251	0.1461107585
252	0.1458784505
253	0.1457259604
254	0.1455501153
255	0.1452087392
256	0.1450416832
257	0.1447838436
258	0.1446100709
259	0.1445200299
260	0.1444339165
261	0.1442246549
262	0.1440942916
263	0.1436252162
264	0.1435769116
265	0.1433811156
266	0.1432537393
267	0.1431001048
268	0.1430491134
269	0.1428809801
270	0.1427368939
271	0.1425571302
272	0.1425154668
273	0.1423980816
274	0.1423112138
275	0.1421603906
276	0.1418946833
277	0.1417753989
278	0.1415807728
279	0.1412495583
280	0.1410582239
281	0.1406606784
282	0.1405012588
283	0.1404280248
284	0.1402398168
285	0.1400411934
286	0.1397683812
287	0.1396602233
288	0.139412724
289	0.1393805853
290	0.1393372735
291	0.1391386588
292	0.1389368071
293	0.1386556055
294	0.1384597487
295	0.1382312161
296	0.138061661
297	0.1380275744
298	0.1377026298
299	0.1375492063
300	0.1375304045
301	0.1371971622
302	0.1367416444
303	0.1365843135
304	0.1364211214
305	0.1363287587
306	0.1362713011
307	0.1359749289
308	0.1357803035
309	0.1356586358
310	0.1356221952
311	0.1353039404
312	0.135132994
313	0.1349879081
314	0.1347276854
315	0.1347047796
316	0.134602689
317	0.1344170727
318	0.1341651849
319	0.1340744203
320	0.1339745663
321	0.133785503
322	0.1334835312
323	0.133449819
324	0.133410676
325	0.1332625321
326	0.1330333613
327	0.13283452
328	0.132749865
329	0.1325245191
330	0.1324115614
331	0.1322984106
332	0.1322655996
333	0.1320666041
334	0.131936386
335	0.1318789847
336	0.1317505032
337	0.1315146018
338	0.1314838177
339	0.1312510137
340	0.1310945072
341	0.130882728
342	0.130720135
343	0.1305083192
344	0.1303189073
345	0.1300965218
346	0.1297390267
347	0.1295931601
348	0.129338438
349	0.1293056068
350	0.1291258231
351	0.1288864732
352	0.128531505
353	0.1282990955
354	0.1280313221
355	0.1279309785
356	0.1277096998
357	0.1276700537
358	0.1274686534
359	0.1270324579
360	0.1268954175
361	0.1267234839
362	0.1265323506
363	0.1264315515
364	0.1261890641
365	0.1257965972
366	0.1255950598
367	0.1254920048
368	0.1252876566
369	0.1249555134
370	0.1248156981
371	0.1246250861
372	0.1243730712
373	0.1242986527
374	0.1241114398
375	0.1239440318
376	0.1237459283
377	0.1235375436
378	0.1233084811
379	0.1232238016
380	0.1229654937
381	0.1229354614
382	0.1226371048
383	0.1223972777
384	0.1222078096
385	0.122120032
386	0.1219155834
387	0.1216940616
388	0.1216314181
389	0.1215842677
390	0.121392735
391	0.1213400445
392	0.1212801473
393	0.1209155565
394	0.1208358553
395	0.120795265
396	0.1206472478
397	0.1204880526
398	0.1204601355
399	0.1203848445
400	0.1201700539
401	0.1201471166
402	0.1199303497
403	0.1195620515
404	0.1194467446
405	0.1192480303
406	0.1190880334
407	0.1190080911
408	0.1188421681
409	0.1187475542
410	0.1184745979
411	0.118333695
412	0.1182937206
413	0.1182254523
414	0.1179343468
415	0.1176056165
416	0.1175357229
417	0.1174476387
418	0.1173993539
419	0.1171607078
420	0.1168415349
421	0.1166498976
422	0.1165909722
423	0.1165261175
424	0.1164449509
425	0.1164019007
426	0.11617022
427	0.1160277998
428	0.1160033386
429	0.1159543706
430	0.1158605858
431	0.1158085698
432	0.1156353088
433	0.1155355632
434	0.1153035265
435	0.115113607
436	0.1148787268
437	0.1146244401
438	0.1145659186
439	0.1145408322
440	0.1144807331
441	0.1143475919
442	0.1142888644
443	0.1140104653
444	0.1138243893
445	0.1137743217
446	0.1135185153
447	0.1134053644
448	0.1131991686
449	0.1130771725
450	0.1128082197
451	0.1127726043
452	0.1126645499
453	0.1124971872
454	0.1123916831
455	0.1121686251
456	0.1120099026
457	0.1118946364
458	0.1116955817
459	0.1116773082
460	0.1115668131
461	0.111458925
462	0.1113744961
463	0.11118379
464	0.1111017471
465	0.1110873842
466	0.1109713299
467	0.1108668335
468	0.1106480253
469	0.1106242169
470	0.1105616654
471	0.110414466
472	0.1102167798
473	0.1101445464
474	0.109906558
475	0.1097686245
476	0.109671605
477	0.1094569113
478	0.1093889836
479	0.1093023052
480	0.1092224115
481	0.1091870759
482	0.1091158616
483	0.1089667708
484	0.1089401393
485	0.1085602834
486	0.1083630716
487	0.1083066166
488	0.1081893013
489	0.108122119
490	0.1080564363
491	0.1079808112
492	0.1079639609
493	0.1078990971
494	0.1077986664
495	0.1077473069
496	0.1076181492
497	0.1074512316
498	0.1073898637
499	0.1073110893
500	0.107169234
501	0.1070283311
502	0.1069215271
503	0.1068344012
504	0.1067736264
505	0.1067539653
506	0.1065553476
507	0.1064466579
508	0.1064264269
509	0.1062661129
510	0.1062392782
511	0.1061461552
512	0.1060242579
513	0.1057683713
514	0.1056981558
515	0.1056388723
516	0.105458458
517	0.1054087194
518	0.1052626808
519	0.1052031378
520	0.1051862956
521	0.1049719562
522	0.1049119278
523	0.1048127334
524	0.1047258927
525	0.1045601544
526	0.1045109977
527	0.1044112816
528	0.1043969687
529	0.1042019408
530	0.1041816403
531	0.1039640563
532	0.1038520364
533	0.1038011279
534	0.1037856953
535	0.1037094031
536	0.1036159904
537	0.103604408
538	0.1034480146
539	0.1033774257
540	0.1032897226
541	0.1030799281
542	0.1029163502
543	0.1028826576
544	0.1027596203
545	0.1026054076
546	0.1024223589
547	0.102331663
548	0.1022822428
549	0.1022719664
550	0.1022054228
551	0.1019701231
552	0.1019173829
553	0.101747523
554	0.1015212766
